first_name,last_name,email_type,unique_num,email
Atticus,Kensington,GMAIL,54541,atticus.kensington@GMAIL
Amelia,Barrett,YAHOO ,54542,barrett_amelia@YAHOO 
Jack,Carrington,myorg,54543,carrington54543jack@myorg
Emma,Miller,gmaiL ,54544,emma.miller@gmaiL 
Brielle,Ironwood,GMAIL ,54545,brielle.ironwood@GMAIL 
Harper,Ashford,GmAIl ,54546,harper.ashford@GmAIl 
Caroline,Blackwood,GmaIl,54547,caroline.blackwood@GmaIl
Harper,Rodriguez,yahoo,54548,rodriguez_harper@yahoo
Ryan,Carrington,MYORG,54549,carrington54549ryan@MYORG
Gideon,Fitzroy,MYORG,54550,fitzroy54550gideon@MYORG
Maya,Hayes,gmail,54551,maya.hayes@gmail
Dorian,Lachance,YAHOO,54552,lachance_dorian@YAHOO
Benjamin,Clark,MYORG,54553,clark54553benjamin@MYORG
Aurelia,Dumont,gmail,54554,aurelia.dumont@gmail
Elijah,Richards,GmAIL,54555,elijah.richards@GmAIL
Samuel,Stormwind,GmaIL,54556,samuel.stormwind@GmaIL
Emma,Robinson,GMAIL ,54557,emma.robinson@GMAIL 
Asher,Ashdown,gMail ,54558,asher.ashdown@gMail 
Emily,Barlow,gmail,54559,emily.barlow@gmail
Josephine,Armstrong,gmail,54560,josephine.armstrong@gmail
Owen,Martin,MyoRg,54561,martin54561owen@MyoRg
Alexander,Kingsley,gmail,54562,alexander.kingsley@gmail
Scarlett,Thomas,GMAIL,54563,scarlett.thomas@GMAIL
Percival,Fontaine,gmail,54564,percival.fontaine@gmail
Daniel,Thompson,gmaIl,54565,daniel.thompson@gmaIl
Julian,Dumont,myorg,54566,dumont54566julian@myorg
Arabella,Marwood,GMAIL,54567,arabella.marwood@GMAIL
Jack,Fontaine,gmail,54568,jack.fontaine@gmail
Alice,Lachance,gmail,54569,alice.lachance@gmail
Octavia,Gonzalez,GMAIL,54570,octavia.gonzalez@GMAIL
Emily,Taylor,MYORG,54571,taylor54571emily@MYORG
Aria,Bellerose,gmail,54572,aria.bellerose@gmail
Caleb,Armstrong,gmail,54573,caleb.armstrong@gmail
Ophelia,Douglas,yahoo,54574,douglas_ophelia@yahoo
Rosalind,Dalton,yahoo,54575,dalton_rosalind@yahoo
James,Taylor,myorg ,54576,taylor54576james@myorg 
Isolde,Dalton,GMAIL,54577,isolde.dalton@GMAIL
Valerius,Martin,GMAIL,54578,valerius.martin@GMAIL
Mia,Martin,myorg,54579,martin54579mia@myorg
Evelyn,Martinez,GMAIL ,54580,evelyn.martinez@GMAIL 
