first_name,last_name,email_type,unique_num,email
Emma,Miller,GMAIL,54541,emma.miller@GMAIL
Ruby,Harris,YAHOO ,54542,harris_ruby@YAHOO 
Percival,Stormwind,myorg,54543,stormper54543@myorg
Thaddeus,Blackwood,gmaiL ,54544,thaddeus.blackwood@gmaiL 
Rosalind,Moretti,GMAIL ,54545,rosalind.moretti@GMAIL 
Marcella,Taylor,GmAIl ,54546,marcella.taylor@GmAIl 
Silas,Thompson,GmaIl,54547,silas.thompson@GmaIl
Percival,Montgomery,yahoo,54548,montgomery_percival@yahoo
Henry,Bennett,MYORG,54549,bennehen54549@MYORG
Ronan,Kingsford,MYORG,54550,kingsron54550@MYORG
Evander,Moretti,gmail,54551,evander.moretti@gmail
Nathan,Crawford,YAHOO,54552,crawford_nathan@YAHOO
Madison,Winston,MYORG,54553,winstmad54553@MYORG
Callum,Winston,gmail,54554,callum.winston@gmail
Nathan,OMalley,GmAIL,54555,nathan.omalley@GmAIL
Miles,Fitzroy,GmaIL,54556,miles.fitzroy@GmaIL
Octavius,Somerfield,GMAIL ,54557,octavius.somerfield@GMAIL 
Alexander,Johnson,gMail ,54558,alexander.johnson@gMail 
Elijah,Langford,gmail,54559,elijah.langford@gmail
Isaiah,Aldridge,gmail,54560,isaiah.aldridge@gmail
Ophelia,Bramwell,MyoRg,54561,bramwoph54561@MyoRg
Damien,Garcia,gmail,54562,damien.garcia@gmail
Reginald,Davis,GMAIL,54563,reginald.davis@GMAIL
Lysander,Thompson,gmail,54564,lysander.thompson@gmail
Caroline,Marwood,gmaIl,54565,caroline.marwood@gmaIl
Aria,Armstrong,myorg,54566,armstari54566@myorg
Atticus,Brightshield,GMAIL,54567,atticus.brightshield@GMAIL
Maximus,Ramirez,gmail,54568,maximus.ramirez@gmail
Alistair,Hernandez,gmail,54569,alistair.hernandez@gmail
Maximus,Kavanagh,GMAIL,54570,maximus.kavanagh@GMAIL
Julian,Fitzroy,MYORG,54571,fitzrjul54571@MYORG
Lucy,Haverhill,gmail,54572,lucy.haverhill@gmail
Valentina,Somerfield,gmail,54573,valentina.somerfield@gmail
Jack,Dumont,yahoo,54574,dumont_jack@yahoo
Sophia,Fontaine,yahoo,54575,fontaine_sophia@yahoo
Asher,Thornfield,myorg ,54576,thornash54576@myorg 
Aiden,Rodriguez,GMAIL,54577,aiden.rodriguez@GMAIL
Soren,Ashford,GMAIL,54578,soren.ashford@GMAIL
Emily,Montgomery,myorg,54579,montgemi54579@myorg
Noah,Marwood,GMAIL ,54580,noah.marwood@GMAIL 
Julian,Davis,GMAIL,54581,julian.davis@GMAIL
Nora,Aldridge,gmail,54582,nora.aldridge@gmail
Owen,Thompson,gmail,54583,owen.thompson@gmail
Evelyn,Hoffmann,yAHOo,54584,hoffmann_evelyn@yAHOo
Cyrus,Chambers,GMAIL ,54585,cyrus.chambers@GMAIL 
Alexander,Kingsley,myorg ,54586,kingsale54586@myorg 
Madison,Loxley,gmail,54587,madison.loxley@gmail
Damien,Silverwind,GMAIL,54588,damien.silverwind@GMAIL
Gideon,Bellerose,gMaiL,54589,gideon.bellerose@gMaiL
Isabella,Gonzalez,gmAiL,54590,isabella.gonzalez@gmAiL
Rosalind,Loxley,yahoo,54591,loxley_rosalind@yahoo
Soren,Wolfhart,MYORG ,54592,wolfhsor54592@MYORG 
Audrey,Williams,yAhOo,54593,williams_audrey@yAhOo
Henry,Lopez,YAHOO,54594,lopez_henry@YAHOO
Elena,Bennett,gmail,54595,elena.bennett@gmail
Hannah,Nightwell,yahoo,54596,nightwell_hannah@yahoo
